title,studies,effect_estimate,CI_lower,CI_upper,p,q,q_df,q_p,tau2,tau2_se,tau,h,i1
BMI (SD) on Alzheimers,"Ostergaard et al., (2015), Nordestgaard et al. (2017)",1.01,0.88,1.15,0.92,0.05,1,0.82,1.06E-05,0.0003,0.003,1,0
BMI (SD) on hemorrhagic stroke,"Dale et al., (2017), Fall et al., (2013)",1.08,0.73,1.59,0.71,1.19,1,0.28,0.03,0.07,0.2,1.09,0.16
BMI (SD) on ischemic stroke,"Censin et al., (2019), Larsson et al., (2017)",1.24,0.99,1.53,0.05,4.98,1,0.03,0.02,0.02,0.13,2.23,0.8
Birthweight (SD) on ER- breast cancer,"Gao et al., (2016), Kar et al., (2019)",0.94,0.77,1.14,0.51,0.15,1,0.7,0.0003,0.002,0.02,1,0
Birthweight (SD) on breast cancer,"Gao et al., (2016), Kar et al., (2019)",1.01,0.72,1.42,0.97,4.7,1,0.03,0.04,0.06,0.21,2.17,0.79
Birthweight (SD) on colon cancer,"Gao et al., (2016), Jarvis et al., (2016)",0.94,0.54,1.64,0.83,4.04,1,0.04,0.1,0.14,0.33,2.01,0.75
BMI (SD) on colorectal cancer,"Gharahkhani et al., (2019), Gao et al., (2016), Jarvis et al., (2016)",1.18,1.01,1.37,0.03,4.14,2,0.13,0.01,0.01,0.1,1.44,0.52
WHR (SD) on colorectal cancer,"Gao et al., (2016), Jarvis et al., (2016)",1.48,1.08,2.03,0.01,0.38,1,0.54,0.003,0.01,0.06,1,0
BMI (SD) on endometrial cancer,"Gharahkhani et al., (2019), Painter et al., (2016), Palmer et al., (2011)",1.57,1.11,2.22,0.01,25.52,2,2.88E-06,0.08,0.07,0.28,3.57,0.92
BMI (SD) on lung cancer,"Censin et al., (2019), Gao et al., (2016),",1.3,1.17,1.45,2.65E-06,0.17,1,0.68,8.00E-05,0.0007,0.01,1,0
BMI (SD) on ovarian cancer,"Gao et al., (2016), Gharahkhani et al., (2019),",1.39,1.2,1.61,9.24E-06,0.08,1,0.78,3.00E-05,0.0006,0.01,1,0
BMI (SD) on prostate cancer,"Gao et al., (2016), Gharahkhani et al., (2019),",1.08,0.91,1.28,0.37,1.29,1,0.26,0.006,0.01,0.08,1.13,0.22
WHR (SD) on CAD,"Censin et al., (2019),  Lv et al., (2018)",1.63,1.4,1.91,5.29E-10,3.09,1,0.08,0.008,0.01,0.09,1.76,0.68
WHRadjBMI (SD) on CAD,"Censin et al., (2019),  Dale et al., (2017)",1.4,1.33,1.47,1.05E-38,0.63,1,0.43,0.0005,0.001,0.02,1,0
BMI (SD) on hypertension,"Fall et al., (2013), Lyall et al., (2017)",1.36,0.94,1.98,0.11,41.65,1,1.09E-10,0.07,0.09,0.26,6.45,0.98
BMI (SD) on venous thromboembolism,"Klarin et al., (2017), Lindstrom et al., (2017)",1.58,1.33,1.87,2.26E-07,0.27,2,0.87,0.0005,0.004,0.02,1,0
BMI (SD) on depression,"Tyrrell et al., (2019), Speed et a., (2019), VandenBroek et al., (2018)",1.11,1.04,1.19,0.001,0.001,1,0.97,1.00E-08,1.00E-05,0.0001,1,0
BMI (SD) on type 2 diabetes,"Censin et al., (2019), Shu et al., (2019)",2.48,1.52,4.07,0.0003,11.23,2,0.003,0.002,0.003,0.05,2.37,0.82
WHRadjBMI (SD) on type 2 diabetes,"Censin et al., (2019),  Shu et al., (2019)",2.06,1.9,2.24,1.26E-65,0.04,1,0.65,1.00E-04,0.003,0.01,1,0
BMI (SD) on PCOS,"Brower et al., (2019), Day et a., (2018)",2.55,1.22,5.34,0.01,29.71,3,1.59E-06,0.004,0.003,0.06,3.15,0.9
BMI (SD) on asthma,"Palmer et al., (2011), Skaaby et al., (2018)",1.06,1.03,1.1,0.0004,4.37,1,0.04,0.0006,0.0008,0.03,2.09,0.77
BMI (SD) on arthritis,"Larsson et al., (2018), Richardson et al., (2019a)",1.48,0.68,3.25,0.33,7.09,2,0.03,0.04,0.04,0.19,1.88,0.72
BMI (SD) on SBP (mm/Hg),"Holmes et al., (2014), Shapland et al., (2019), Wade et a., (2018)",0.79,0.54,1.05,1.02E-09,22.35,1,2.27E-06,0.02,0.03,0.14,4.73,0.96
BMI (SD) on cholesterol (mmol/L),"Fall et al., (2013), Wang et al., (2018)",0.01,-0.02,0.03,0.63,1.72,1,0.19,0.17,0.25,0.41,1.31,0.42
BMI (SD) on fasting glucose (mmol/L),"Fall et al., (2013), Censin et al., (2019),  Holmes et al., (2014), Xu et al., (2017)",0.08,0.02,0.15,0.02,7.9,2,0.02,0.01,0.02,0.11,1.99,0.75
BMI (SD) on HbA1c (%),"Fall et al., (2013), Xu et al., (2017)",0.03,-0.02,0.07,0.22,1.3,1,0.25,0.001,0.002,0.04,1.14,0.23
BMI (SD) on HDL (mmol/L),"Fall et al., (2013), Holmes et al., (2014), Wang et al., (2018)",-0.11,-0.34,0.12,0.34,33.29,1,7.93E-09,0.12,0.16,0.35,5.77,0.97
BMI (SD) on HDL (SD),"Wurtz et al., (2014), Xu et al., (2017)",-0.12,-0.33,0.09,0.25,1.13,1,0.29,0.002,0.004,0.05,1.06,0.12
BMI (SD) on HOMA IR (SD),"Kivimaki et al., (2008), Wang et al., (2018a)",0.26,-0.42,0.95,0.45,1.96,1,0.16,0.19,0.26,0.43,1.4,0.49
BMI (SD) on LDL (mmol/L),"Fall et al., (2013), Holmes et al., (2014), Wang et al., (2018)",-0.01,-0.06,0.04,0.65,0.64,1,0.42,0.01,0.03,0.11,1,0
BMI (SD) on LDL (SD),"Wurtz et al., (2014), Xu et al., (2017)",0.02,-0.03,0.07,0.43,32.48,1,1.21E-08,0.3,0.42,0.55,5.7,0.97
