"author","year","title","exposure","outcome","outcome_info","outcome_group","MR_design","MR_method","effect_estimate","estimate"
"Conde",2018,"Mendelian randomisation analysis of clustered causal effects of body mass on cardiometabolic biomarkers","BMI","137 metabolites","137 metabolites","metabolic","One-sample","Inverse variance weighted","Not discussed","Not discussed"
"Afzal",2014,"Vitamin D concentration, obesity, and risk of diabetes:
a mendelian randomisation study","BMI","25(OH)D","plasma 25(OH)D concentration","metabolic","One-sample","Generalised method of moments (GMM)","OR","11.1"
"Vimaleswaran",2013,"Causal Relationship between Obesity and Vitamin D Status: Bi-Directional Mendelian Randomization Analysis of Multiple Cohorts","BMI","25(OH)D","25(OH)D","metabolic","One-sample (bi-directional)","Wald ratio","Beta","-0.42"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","25(OH)D","log vitamin D","metabolic","One-sample","Two-stage-least-squares","Beta","0.0145"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","acetate","acetate","metabolic","One-sample","Two-stage-least-squares","Beta","-0.0188"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","acetoacetate","log acetoacetate","metabolic","One-sample","Two-stage-least-squares","Beta","-0.00538"
"Emdin",2017,"Genetic Association of Waist-to-Hip Ratio With Cardiometabolic Traits, Type 2 Diabetes, and Coronary Heart Disease","WHRadjBMI","acid reflux","gastric reflux","gastrointestinal","One-sample","Logistic regression model","OR","1.18"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","BMI","acute reaction to stress","acute reaction to stress","mental health","Generalized summary data-based MR (GSMR)","GSMR","OR","1.020038211"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","WHRadjBMI","acute reaction to stress","acute reaction to stress","mental health","Generalized summary data-based MR (GSMR)","GSMR","OR","1.076635136"
"Arafat",2018,"Fetal Origins of Mental Disorders? An Answer Based on Mendelian Randomization
","birth weight","ADHD","attention deficit hyperactivity disorder","mental health","Two-sample summary-level","Inverse variance weighted","Not discussed","Not discussed"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","adiponectin","adiponectin","metabolic","One-sample","Two-stage-least-squares","Beta","-0.212"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI","adipose tissue volume","visceral","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","0.315"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI","adipose tissue volume","subcutaneous","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","0.629"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI","adipose tissue volume","subcutaneous or visceral","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","-0.224"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI","adipose tissue volume","pericardial","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","0.153"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR decreasing","adipose tissue volume","visceral","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","-0.579"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR decreasing","adipose tissue volume","subcutaneous","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","1.09"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR decreasing","adipose tissue volume","subcutaneous or visceral","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","-1.9"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR decreasing","adipose tissue volume","pericardial","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","-1.3"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR increasing","adipose tissue volume","visceral","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","0.537"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR increasing","adipose tissue volume","subcutaneous","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","0.739"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR increasing","adipose tissue volume","subcutaneous or visceral","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","-0.142"
"Winkler",2018,"A joint view on genetic variants for adiposity differentiates subtypes with distinct metabolic implications","BMI increasing and WHR increasing","adipose tissue volume","pericardial","anthropometric","Two-sample summary-level","Inverse variance weighted","Beta","0.328"
"Zeng",2019,"Causal Association between Birth Weight and Adult Diseases: Evidence from a Mendelian Randomisation Analysis","birth weight","age-related macular degeneration","age-related macular degeneration","other","Two-sample summary-level","Inverse variance weighted","OR","0.98"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","alanine","alanine","metabolic","One-sample","Two-stage-least-squares","Beta","1.09"
"Dale",2017,"Causal Associations of Adiposity and Body Fat Distribution with Coronary Heart Disease, Stroke Subtypes and Type 2 Diabetes: A Mendelian Randomization Analysis","BMI","albumin","albumin","metabolic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Mean difference","-0.19"
"Wurtz",2014,"Metabolic Signatures of Adiposity in Young Adults: Mendelian Randomization Analysis and Effects of Weight Change","BMI","albumin","albumin","metabolic","One-sample","Two-stage-least-squares","Beta","-0.00014"
"Dale",2017,"Causal Associations of Adiposity and Body Fat Distribution with Coronary Heart Disease, Stroke Subtypes and Type 2 Diabetes: A Mendelian Randomization Analysis","WHRadjBMI","albumin","albumin","metabolic","one-sample meta-analysis","Inverse variance weighted (fixed effects)","Mean difference","0.17"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","BMI","allergic rhinitis","allergic rhinitis","immune","Generalized summary data-based MR (GSMR)","GSMR","OR","0.935362615"
"Zhu",2018,"Causal associations between risk factors and common diseases inferred from GWAS summary data","WHRadjBMI","allergic rhinitis","allergic rhinitis","immune","Generalized summary data-based MR (GSMR)","GSMR","OR","0.91036705"
"Skaaby",2018,"Estimating the causal effect of body mass index on hay fever, asthma and lung function using Mendelian randomization.","BMI","allergic sensitisation","allergic sensitisation","immune","One-sample","Wald ratio","OR","0.994"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","ALT","hepatic","One-sample","Two-stage-least-squares","Mean difference","11.49"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","lov BMI and low alcohol","hepatic","One-sample","Two-stage-least-squares","Mean difference","-2.32"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","lov BMI and high alcohol","hepatic","One-sample","Two-stage-least-squares","Mean difference","-1.31"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","high BMI and low alcohol","hepatic","One-sample","Two-stage-least-squares","Mean difference","-0.82"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","high BMI and high alcohol","hepatic","One-sample","Two-stage-least-squares","Reference","Reference group"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","ALT","hepatic","Multivariable, one-sample","Two-stage-least-squares","Mean difference","11.41"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","lov BMI and low alcohol","hepatic","One-sample","Two-stage-least-squares","Mean difference","-2.15"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","lov BMI and high alcohol","hepatic","One-sample","Two-stage-least-squares","Mean difference","-1.27"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","high BMI and low alcohol","hepatic","One-sample","Two-stage-least-squares","Mean difference","-0.8"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","high BMI and high alcohol","hepatic","One-sample","Two-stage-least-squares","Reference","Reference group"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","alcohol = 0 units, self-report","hepatic","One-sample","Two-stage-least-squares","Mean difference","14.03"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","alcohol = 1-14 units, self-report","hepatic","One-sample","Two-stage-least-squares","Mean difference","13.8"
"Carter",2019,"Combined Association of Body Mass Index and Alcohol Consumption With Biomarkers for Liver Injury and Incidence of Liver Disease: A Mendelian Randomization Study
","BMI","ALT","alcohol = > 15 units, self-report","hepatic","One-sample","Two-stage-least-squares","Mean difference","6.59"
