.id,author,year,doi,Weak instrument bias ,Genetic confounding bias,Other Confounding bias ,Additional direct effects between IV and outcome (exclusion restriction assumption),Bias due to selection of participants (exposure),Bias due to selection of participants (outcome),IV association ,Sample overlap,Senisitivity analyses,Descriptive data,Data availability,Statistical paramaters,Total
BMI (SD) on Alzheimers,Nordestgaard,2017,10.1210/jc.2017-00195,2,2,3,3,3,3,2,2,3,1,3,3,30
BMI (SD) on Alzheimers,Østergaard,2015,10.1371/journal.pmed.1001841,2,2,1,1,3,3,2,2,1,1,3,2,23
BMI (SD) on hemorrhagic stroke,Dale,2017,10.1161/CIRCULATIONAHA.116.026560,1,1,1,1,2,3,2,2,1,1,2,2,19
BMI (SD) on hemorrhagic stroke,Fall,2013,10.1371/journal.pmed.1001474,2,2,3,3,3,3,2,2,3,1,3,1,28
BMI (SD) on ischemic stroke,Censin,2019,10.1371/journal.pgen.1008405,1,2,3,1,3,3,2,1,1,2,2,3,24
BMI (SD) on ischemic stroke,Larsson,2017,10.1212/WNL.0000000000004173,2,2,1,1,3,3,2,2,1,2,3,3,25
Birthweight (SD) on ER- breast cancer,Gao,2016,10.1093/ije/dyw129,2,2,1,1,3,3,2,1,1,1,3,2,22
Birthweight (SD) on ER- breast cancer,Kar,2018,10.1007/s10654-019-00485-7,1,2,1,1,3,3,3,1,1,1,2,2,21
Birthweight (SD) on breast cancer,Gao,2016,10.1093/ije/dyw129,2,2,1,1,3,3,2,1,1,1,3,2,22
Birthweight (SD) on breast cancer,Kar,2018,10.1007/s10654-019-00485-7,1,2,1,1,3,3,3,1,1,1,2,2,21
Birthweight (SD) on colon cancer,Gao,2016,10.1093/ije/dyw129,2,2,1,1,3,3,2,1,1,1,3,2,22
Birthweight (SD) on colon cancer,Jarvis,2016,10.1038/bjc.2016.188,2,2,1,2,3,3,2,1,2,1,3,3,25
BMI (SD) on colorectal cancer,Gao,2016,10.1093/ije/dyw129,2,2,1,1,3,3,2,1,1,2,3,2,23
BMI (SD) on colorectal cancer,Gharahkhani,2019,10.1038/s41416-019-0386-9,1,1,3,1,2,2,1,1,1,1,3,3,20
BMI (SD) on colorectal cancer,Jarvis,2016,10.1038/bjc.2016.188,2,2,1,2,3,3,2,1,2,1,3,3,25
WHR (SD) on colorectal cancer,Gao,2016,10.1093/ije/dyw129,2,2,1,1,3,3,2,1,1,1,3,2,22
